item_id,category_id,item_name
1,1,Granny Smith Apples - 3lb Bag - Good & Gather™
2,1,Pink Lady Apple -each
3,1,Spam Original Lunch Meat 12oz
4,1,Russet Potatoes 5lb bag
5,1,Lay's Classic Potato Chips 8 oz
6,1,Blue Bell Vanilla Ice Cream Cups
7,1,DiGiorno Rising Crust Pepperoni Frozen Pizza
8,1,Kraft Macaroni & Cheese Dinner Original -7.25oz
9,1,Oscar Mayer Center Cut Original Bacon -12oz
10,1,Chicken Caesar Salad Bowl -6.25oz- Good & Gather
11,1,Lindt Lindor Assorted Chocolate Truffles -6oz
12,1,Sour Patch Kids Assorted Soft & Cherwy Candy -30.4oz
13,1,Dynasty Jasmine Rice 32oz
14,1,Maruchan Ramen Noodle Soup Mix with Chicken Flavor
15,1,Eggland's Best Cage-Free Grade A Large Brown Eggs - 12ct
16,1,Bimbo Soft White Bread - 20oz
17,1,FIJI Natural Artesian Water - 6pk/16.9 fl oz Bottles
18,1,Coca-Cola - 12pk/12 fl oz Cans
19,1,Corona Extra Lager Beer - 12pk/12 fl oz Bottles
20,1,Chips Ahoy! Original Chocolate Chip Cookies -13oz
21,2,OXO Softworks Corkscrew
22,2,Oster Classic Series 5-Speed Blender - Black BLSTCP-B00-000
23,2,Sunbeam 2 Slice Wide-Slot Toaster - Brushed Stainless Steel TSSBTRSB04
24,2,KitchenAid Variable-speed Cordless Hand Blender
25,2,Chefman 3.7qt Digital Air Fryer
26,2,Takeya Flash Chill Iced Tea Maker
27,2,NutriBullet Blender Combo
28,2,Set of 4 Coasters Natural Acacia with Gold Metal - Threshold
29,2,Cravings by Chrissy Teigen 13.28oz Mini Cast-Iron Dutch Oven
30,2,Lodge 6qt Cast Iron Enamel Dutch Oven
31,2,Calphalon Premier Hard Anodized Nonstick Space Saving Fry Pan Combo
32,2,Calphalon Premier 10pc Hard Anodized Nonstick Space Saving Cookware Set
33,2,Stoneware Sugar Cellar Cream - Hearth & Hand™ with Magnolia
34,2,Set of 4 Natural Acacia Dip Bowls - Threshold
35,2,Cheese Slicer Marble/Wood
36,2,Set of 4 Cheese Knives Marble White
37,2,Farberware 15pc Stainless Steel Knife Block Set
38,2,Pryce Silverware Set 20-pc. Stainless Steel
39,2,Spectrum Euro Fruit Tree
40,2,Telford Tumbler 12pc Glass Tumblers
41,3,"Samsung QN43LS03T 43"" The Frame QLED 4K UHD Smart TV"
42,3,"LG 24"" Class 720p 60Hz LED HDTV - 24LF454B"
43,3,"VIZIO D-Series 40"" Class (39.50"" Diag.) 1080p Full-Array LED Smart HDTV - D40f-G9"
44,3,Apple AirPods Pro
45,3,Bose QuietComfort 35 Wireless Headphones II
46,3,Bose SoundSport Free True Wireless Earbuds
47,3,New Powerbeats Wireless Earphones
48,3,PlayStation 4 1TB Console
